"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"886","Bulk Submission","GOVPUB-D301-PURL-LPS37686","","Military Resistance to Humanitarian War in Kosovo and Beyond: An Ideological Explanation","https://www.govinfo.gov/app/details/GOVPUB-D301-PURL-LPS37686","https://www.govinfo.gov/content/pkg/GOVPUB-D301-PURL-LPS37686/pdf/GOVPUB-D301-PURL-LPS37686.pdf","236.0 KB","","0 B","","0 B","","0 B","","0 B"," Paper Air University Press Maxwell Air Force Base, Alabama 36112-6615 September 2000 Disclaimer Opinions, conclusions, and recommendations expressed or implied are solely those of the author, and do not necessarily represent the views of Air University, the United States Air Force, the Department of Defense, or any other US government agency. ...","","2000-01-01"
"887","Congressional Bills","BILLS-119hr3838rh","","Streamlining Procurement for Effective Execution and Delivery and National Defense Authorization Act for Fiscal Year 2026","https://www.govinfo.gov/app/details/BILLS-119hr3838rh","https://www.govinfo.gov/content/pkg/BILLS-119hr3838rh/pdf/BILLS-119hr3838rh.pdf","2.3 MB","https://www.govinfo.gov/content/pkg/BILLS-119hr3838rh/html/BILLS-119hr3838rh.htm","2.0 MB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-119hr3838rh/xml/BILLS-119hr3838rh.xml","3.9 MB","","0 B"," activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. IN THE HOUSE OF REPRESENTATIVES June 9, 2025 Mr. Rogers of Alabama (for himself and Mr. Smith of Washington) introduced the ...","","2025-08-19"
"888","Public and Private Laws","PLAW-117publ81","","National Defense Authorization Act for Fiscal Year 2022","https://www.govinfo.gov/app/details/PLAW-117publ81","https://www.govinfo.gov/content/pkg/PLAW-117publ81/pdf/PLAW-117publ81.pdf","2.4 MB","https://www.govinfo.gov/content/pkg/PLAW-117publ81/html/PLAW-117publ81.htm","3.3 MB","https://www.govinfo.gov/content/pkg/PLAW-117publ81/uslm/PLAW-117publ81.xml","8.5 MB","","0 B","","0 B"," construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. &lt;&lt;NOTE: Dec. 27, 2021 - [S. 1605]&gt;&gt; Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, &lt;&lt;NOTE: National ...","","2021-12-27"
"889","Congressional Bills","BILLS-118hr8070rh","","Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025","https://www.govinfo.gov/app/details/BILLS-118hr8070rh","https://www.govinfo.gov/content/pkg/BILLS-118hr8070rh/pdf/BILLS-118hr8070rh.pdf","1.9 MB","https://www.govinfo.gov/content/pkg/BILLS-118hr8070rh/html/BILLS-118hr8070rh.htm","1.7 MB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-118hr8070rh/xml/BILLS-118hr8070rh.xml","3.7 MB","","0 B"," activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. IN THE HOUSE OF REPRESENTATIVES April 18, 2024 Mr. Rogers of Alabama (for himself, Mr. Smith of Washington, Mr. Bacon, Ms. Houlahan,...","","2024-05-31"
"890","Congressional Record (Bound Edition)","CRECB-2003-pt17","CRECB-2003-pt17-Pg23296","UNITED STATES MILITARY ROTATION POLICY","https://www.govinfo.gov/app/details/CRECB-2003-pt17/CRECB-2003-pt17-Pg23296","https://www.govinfo.gov/content/pkg/CRECB-2003-pt17/pdf/CRECB-2003-pt17-Pg23296.pdf","131.1 KB","https://www.govinfo.gov/content/pkg/CRECB-2003-pt17/html/CRECB-2003-pt17-Pg23296.htm","16.1 KB","","0 B","","0 B","","0 B","and specifically the National Guard and the Reserves. I will also address the planning of that rotation policy. Over the weekend, I met with enumerable groups in Florida about their loved ones who are serving overseas. As members of the Senate Armed Services Committee, we addressed this issue with Deputy Secretary of Defense Wolfowitz and the ...","","2003-09-25"
"891","Congressional Record","CREC-1999-07-27","CREC-1999-07-27-pt1-PgH6475","CONFERENCE REPORT ON H.R. 2465, MILITARY CONSTRUCTION APPROPRIATIONS ACT, 2000","https://www.govinfo.gov/app/details/CREC-1999-07-27/CREC-1999-07-27-pt1-PgH6475","https://www.govinfo.gov/content/pkg/CREC-1999-07-27/pdf/CREC-1999-07-27-pt1-PgH6475.pdf","1.7 MB","https://www.govinfo.gov/content/pkg/CREC-1999-07-27/html/CREC-1999-07-27-pt1-PgH6475.htm","68.1 KB","","0 B","","0 B","","0 B","the bill (H.R. 2465) making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2000, and for other purposes: Conference Report (H. Rept. 106-266) The committee of conference on the disagreeing votes of the two Houses on the amendment of ...","","1999-07-27"
"892","Government Accountability Office Reports and Comptroller General Decisions","GAOREPORTS-GAO-01-566","","Military Readiness: Management Focus Needed on Airfields for Overseas Deployments","https://www.govinfo.gov/app/details/GAOREPORTS-GAO-01-566","https://www.govinfo.gov/content/pkg/GAOREPORTS-GAO-01-566/pdf/GAOREPORTS-GAO-01-566.pdf","529.3 KB","https://www.govinfo.gov/content/pkg/GAOREPORTS-GAO-01-566/html/GAOREPORTS-GAO-01-566.htm","65.8 KB","","0 B","","0 B","","0 B"," of personnel and equipment needed 
to win two nearly simultaneous major theater wars anywhere in the
world. To provide this mobility, DOD relies on a transportation  
system (the En Route System (ERS)) that includes an airlift fleet
of cargo aircraft and a critical network of overseas airfields	 
that provide logistical support to aircraft on ...","","2001-06-14"
"893","Statutes at Large","STATUTE-127","STATUTE-127-Pg672","An act to authorize appropriations for fiscal year 2014 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes","https://www.govinfo.gov/app/details/STATUTE-127/STATUTE-127-Pg672","https://www.govinfo.gov/content/pkg/STATUTE-127/pdf/STATUTE-127-Pg672.pdf","1.3 MB","https://www.govinfo.gov/content/pkg/STATUTE-127/html/STATUTE-127-Pg672.htm","1.8 MB","","0 B","","0 B","","0 B"," construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. > Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled, > SECTION 1. SHORT TITLE. This Act may be cited as the ``National ...","","2013-12-26"
"894","Congressional Record","CREC-2011-06-02","CREC-2011-06-02-pt1-PgH3964-6","MILITARY CONSTRUCTION AND VETERANS AFFAIRS AND RELATED AGENCIES APPROPRIATIONS ACT, 2012","https://www.govinfo.gov/app/details/CREC-2011-06-02/CREC-2011-06-02-pt1-PgH3964-6","https://www.govinfo.gov/content/pkg/CREC-2011-06-02/pdf/CREC-2011-06-02-pt1-PgH3964-6.pdf","225.9 KB","https://www.govinfo.gov/content/pkg/CREC-2011-06-02/html/CREC-2011-06-02-pt1-PgH3964-6.htm","133.2 KB","","0 B","","0 B","","0 B"," rule XVIII, the Chair declares the House in the Committee of the Whole House on the state of the Union for the consideration of the bill, H.R. 2055. {time} 1903 In the Committee of the Whole Accordingly, the House resolved itself into the Committee of the Whole House on the state of the Union for the consideration of the bill (H.R. 2055) making ...","","2011-06-02"
"895","Bulk Submission","GOVPUB-D214-PURL-gpo38733","","Wotan's Workshop: Military Experiments Before World War II","https://www.govinfo.gov/app/details/GOVPUB-D214-PURL-gpo38733","https://www.govinfo.gov/content/pkg/GOVPUB-D214-PURL-gpo38733/pdf/GOVPUB-D214-PURL-gpo38733.pdf","1.6 MB","","0 B","","0 B","","0 B","","0 B"," 1928, at Uckermark, the German training base. (Getty Images) Wotan’s Workshop Military Experiments before World War II by Brian McCue The views expressed in this book do not necessarily represent the opinions of the U.S. Department of the Navy or the U.S. Marine Corps. CNA Corporation 4825 Mark Center Drive Alexandria, Virginia 22311 ...","","2013-01-01"
"896","Bulk Submission","GOVPUB-D101-PURL-gpo77998","","A New Type of Great Power Relationship Between the United States and China: The Military Dimension","https://www.govinfo.gov/app/details/GOVPUB-D101-PURL-gpo77998","https://www.govinfo.gov/content/pkg/GOVPUB-D101-PURL-gpo77998/pdf/GOVPUB-D101-PURL-gpo77998.pdf","1.4 MB","","0 B","","0 B","","0 B","","0 B","and develops leaders for service at the strategic level while advancing knowledge in the global application of Landpower. The purpose of the United States Army War College is to produce graduates who are skilled critical thinkers and complex problem solvers. Concurrently, it is our duty to the U.S. Army to also act as a “think factory” for ...","","2014-01-01"
"897","Congressional Reports","CRPT-118hrpt141","CRPT-118hrpt141","PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2670) TO AUTHORIZE APPROPRIATIONS FOR FISCAL YEAR 2024 FOR MILITARY ACTIVITIES OF THE DEPARTMENT OF DEFENSE AND FOR MILITARY CONSTRUCTION, AND FOR DEFENSE ACTIVITIES OF THE DEPARTMENT OF ENERGY, TO PRESCRIBE MILITARY PERSONNEL STRENGTHS FOR SUCH FISCAL YEAR, AND FOR OTHER PURPOSES","https://www.govinfo.gov/app/details/CRPT-118hrpt141/CRPT-118hrpt141","https://www.govinfo.gov/content/pkg/CRPT-118hrpt141/pdf/CRPT-118hrpt141.pdf","739.7 KB","https://www.govinfo.gov/content/pkg/CRPT-118hrpt141/html/CRPT-118hrpt141.htm","621.5 KB","","0 B","","0 B","","0 B","The Committee on Rules, having had under consideration House Resolution 582, by a record vote of 9 to 4, report the same to the House with the recommendation that the resolution be adopted....","","2023-07-12"
"898","Congressional Record","CREC-2006-11-13","CREC-2006-11-13-pt1-PgS10848","MILITARY CONSTRUCTION AND VETERANS AFFAIRS AND RELATED AGENCIES APPROPRIATIONS ACT, 2007","https://www.govinfo.gov/app/details/CREC-2006-11-13/CREC-2006-11-13-pt1-PgS10848","https://www.govinfo.gov/content/pkg/CREC-2006-11-13/pdf/CREC-2006-11-13-pt1-PgS10848.pdf","323.7 KB","https://www.govinfo.gov/content/pkg/CREC-2006-11-13/html/CREC-2006-11-13-pt1-PgS10848.htm","122.9 KB","","0 B","","0 B","","0 B"," the Senate proceed to the immediate consideration of H.R. 5385, the Military Construction and Veterans Affairs and related agencies appropriations bill for 2007. I further ask consent that the committee- reported substitute be agreed to as original text for the purpose of further amendment, with no points of order waived by virtue of this ...","","2006-11-13"
"899","Federal Register","FR-2015-03-26","2015-06759","Defense Federal Acquisition Regulation Supplement: Use of Military Construction Funds (DFARS Case 2015-D006)","https://www.govinfo.gov/app/details/FR-2015-03-26/2015-06759","https://www.govinfo.gov/content/pkg/FR-2015-03-26/pdf/2015-06759.pdf","238.8 KB","https://www.govinfo.gov/content/pkg/FR-2015-03-26/html/2015-06759.htm","14.9 KB","","0 B","","0 B","","0 B"," and Veterans Affairs and Related Agencies Appropriations Act, 2015, that require offerors bidding on DoD military construction contracts to provide opportunity for competition to American steel producers, fabricators, and manufacturers; and restrict use of military construction funds in certain foreign countries, including countries that border ...","","2015-03-26"
"900","Congressional Record","CREC-2003-11-04","CREC-2003-11-04-pt1-PgH10253-2","CONFERENCE REPORT ON H.R. 2559, MILITARY CONSTRUCTION APPROPRIATIONS ACT, 2004","https://www.govinfo.gov/app/details/CREC-2003-11-04/CREC-2003-11-04-pt1-PgH10253-2","https://www.govinfo.gov/content/pkg/CREC-2003-11-04/pdf/CREC-2003-11-04-pt1-PgH10253-2.pdf","1.1 MB","https://www.govinfo.gov/content/pkg/CREC-2003-11-04/html/CREC-2003-11-04-pt1-PgH10253-2.htm","81.9 KB","","0 B","","0 B","","0 B"," the following conference report and statement on the bill (H.R. 2559) making appropriations for military construction, family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 2004, and for other purposes: Conference Report (H. Rept. 108-342) The committee of conference on the ...","","2003-11-04"
"901","Public Papers of the Presidents of the United States","PPP-1998-book2","PPP-1998-book2-doc-pg1643-2","Japan-United States Joint Statement on Cooperation in the Use of the Global Positioning System","https://www.govinfo.gov/app/details/PPP-1998-book2/PPP-1998-book2-doc-pg1643-2","https://www.govinfo.gov/content/pkg/PPP-1998-book2/pdf/PPP-1998-book2-doc-pg1643-2.pdf","182.1 KB","https://www.govinfo.gov/content/pkg/PPP-1998-book2/html/PPP-1998-book2-doc-pg1643-2.htm","4.9 KB","","0 B","","0 B","","0 B"," between representatives and experts of the Government of the United States and the Government of Japan, U.S. President William Clinton and Japanese Prime Minister Keizo Obuchi have issued this Joint Statement regarding cooperation in the use of the Global Positioning System (GPS) Standard Positioning Service for global positioning and other ...","","1998-09-22"
"902","Compilation of Presidential Documents","DCPD-201800819","","Remarks Prior to a Meeting With Prime Minister Shinzo Abe of Japan and an Exchange With Reporters in Buenos Aires, Argentina","https://www.govinfo.gov/app/details/DCPD-201800819","https://www.govinfo.gov/content/pkg/DCPD-201800819/pdf/DCPD-201800819.pdf","37.9 KB","https://www.govinfo.gov/content/pkg/DCPD-201800819/html/DCPD-201800819.htm","5.2 KB","","0 B","","0 B","","0 B",", Argentina November 30, 2018 President Trump. So it's a great honor to be with my friend, Shinzo Abe, Prime Minister of Japan, who has just had a very big success in his election. He won by a massive amount. [ Laughter ] And I'm not surprised at all. I just want to say that we have many things that we'll be talking about, in particular ...","","2018-11-30"
"903","Statutes at Large","STATUTE-38","STATUTE-38-Pg2018","Warning against violations of neutrality during war between Japan and Germany. August 24, 1914","https://www.govinfo.gov/app/details/STATUTE-38/STATUTE-38-Pg2018","https://www.govinfo.gov/content/pkg/STATUTE-38/pdf/STATUTE-38-Pg2018.pdf","1.0 MB","","0 B","","0 B","","0 B","","0 B"," cannot carry such articles upon the high seas for the use or service of a bel- ligerent, nor can they transport soldiers and officers of a belligerent, or attempt to break any blockade which may be lawfully established and maintained during the said wars without incurring the risk of hostile capture and the penalties denounced by the law of ...","","1914-08-24"
"904","Compilation of Presidential Documents","DCPD-201800250","","Remarks at a Working Lunch With Prime Minister Shinzo Abe of Japan and an Exchange With Reporters in Palm Beach, Florida","https://www.govinfo.gov/app/details/DCPD-201800250","https://www.govinfo.gov/content/pkg/DCPD-201800250/pdf/DCPD-201800250.pdf","134.0 KB","https://www.govinfo.gov/content/pkg/DCPD-201800250/html/DCPD-201800250.htm","10.9 KB","","0 B","","0 B","","0 B",", Florida April 18, 2018 President Trump. Thank you very much, everybody. Prime Minister Abe and I have spent a lot of time today, and we really spent a lot of time since I got elected. And right from the beginning, we hit it off. The relationship is a very good one. We talked North Korea; covered that yesterday, a little bit today. We&#39;re ...","","2018-04-18"
"905","Congressional Committee Prints","CPRT-96SPRT41534","CPRT-96SPRT41534","United States-Japan security relationship: the key to East Asian security and stability: report of the Pacific Study Group to the Committee on Armed Services, United States Senate, March 22, 1979.","https://www.govinfo.gov/app/details/CPRT-96SPRT41534/CPRT-96SPRT41534","https://www.govinfo.gov/content/pkg/CPRT-96SPRT41534/pdf/CPRT-96SPRT41534.pdf","12.0 MB","","0 B","","0 B","","0 B","","0 B"," GROUP TO THE COMMITTEE ON ARMED SERVICES UNITED STATES SENATE MARCH 22, 1979 Printed for the use of the Committee on Armed Services U.S. GOVERNMENT PRINTING OFFICE <1-534 WASHINGTON : 1979 COMMITTEE ON ARMED SERVICES JOHN C. STENNIS, Mississippi, Chairman HENRY M. JACKSON, Washington HOWARD W. CANNON, Nevada HARRY F. BYRD, Jr., Virginia SAM ...","","1979-03-22"
"906","Congressional Bills","BILLS-113s1034is","","National Defense Authorization Act for Fiscal Year 2014","https://www.govinfo.gov/app/details/BILLS-113s1034is","https://www.govinfo.gov/content/pkg/BILLS-113s1034is/pdf/BILLS-113s1034is.pdf","917.2 KB","https://www.govinfo.gov/content/pkg/BILLS-113s1034is/html/BILLS-113s1034is.htm","583.8 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-113s1034is/xml/BILLS-113s1034is.xml","927.2 KB","","0 B"," construction, to prescribe military personnel strengths for such fiscal year, and for other purposes. IN THE SENATE OF THE UNITED STATES May 23, 2013 Mr. Levin (for himself and Mr. Inhofe) (by request) introduced the following bill; which was read twice and referred to the Committee on Armed Services A BILL To authorize appropriations for ...","","2013-05-23"
"907","Bulk Submission","GOVPUB-D305-PURL-LPS57413","","Transformation in Russian and Soviet Military History","https://www.govinfo.gov/app/details/GOVPUB-D305-PURL-LPS57413","https://www.govinfo.gov/content/pkg/GOVPUB-D305-PURL-LPS57413/pdf/GOVPUB-D305-PURL-LPS57413.pdf","1.5 MB","","0 B","","0 B","","0 B","","0 B","Transformation i n Russian and S o v i e t M i l i t a r y History!' he ld a t t h e A i r Force Academy, 1-3 October 1986. The r e sou rces c i t e d are i n t h e Air Force Academy l i b r a r y c o l l e c t i o n . The b ib l iography was compiled by Steven E . Maffeo of t he Reference Branch of t h e A i r Force Academy L ib ra ry , a s s i s ...","","1986-01-01"
"908","Congressional Bills","BILLS-111hr2647enr","","National Defense Authorization Act for Fiscal Year 2010","https://www.govinfo.gov/app/details/BILLS-111hr2647enr","https://www.govinfo.gov/content/pkg/BILLS-111hr2647enr/pdf/BILLS-111hr2647enr.pdf","1.6 MB","https://www.govinfo.gov/content/pkg/BILLS-111hr2647enr/html/BILLS-111hr2647enr.htm","2.3 MB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-111hr2647enr/xml/BILLS-111hr2647enr.xml","5.4 MB","","0 B","sixth day of January, two thousand and nine An Act To authorize appropriations for fiscal year 2010 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. Be it enacted by the ...","","2010-08-23"
"909","Congressional Hearings","CHRG-110shrg41266","CHRG-110shrg41266","Military Construction and Veterans Affairs, and Related Agencies Appropriations for Fiscal Year 2009","https://www.govinfo.gov/app/details/CHRG-110shrg41266/CHRG-110shrg41266","https://www.govinfo.gov/content/pkg/CHRG-110shrg41266/pdf/CHRG-110shrg41266.pdf","8.3 MB","https://www.govinfo.gov/content/pkg/CHRG-110shrg41266/html/CHRG-110shrg41266.htm","660.1 KB","","0 B","","0 B","","0 B"," THE COMMITTEE ON APPROPRIATIONS UNITED STATES SENATE ONE HUNDRED TENTH CONGRESS SECOND SESSION on H.R. 6599/S. 3301 MAKING APPROPRIATIONS FOR MILITARY CONSTRUCTION, THE DEPARTMENT OF VETERANS AFFAIRS, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2009, AND FOR OTHER PURPOSES Department of Defense Department of Veterans Affairs ...","","2009-09-30"
"910","Congressional Record","CREC-2002-10-09","CREC-2002-10-09-pt2-PgH7706","AUTHORIZATION FOR USE OF MILITARY FORCE AGAINST IRAQ RESOLUTION OF 2002","https://www.govinfo.gov/app/details/CREC-2002-10-09/CREC-2002-10-09-pt2-PgH7706","https://www.govinfo.gov/content/pkg/CREC-2002-10-09/pdf/CREC-2002-10-09-pt2-PgH7706.pdf","343.4 KB","https://www.govinfo.gov/content/pkg/CREC-2002-10-09/html/CREC-2002-10-09-pt2-PgH7706.htm","276.8 KB","","0 B","","0 B","","0 B"," from California (Mr. Becerra), a member of the Committee on Ways and Means. Mr. BECERRA. Mr. Speaker, I thank the gentleman for yielding time to me. Mr. Speaker, any nation engaged in a program of building weapons of mass destruction presents a danger to international peace and stability. Any leader who flouts the rule of law is a menace to ...","","2002-10-09"
"911","Congressional Hearings","CHRG-112hhrg65601","CHRG-112hhrg65601","Justice for America: Using Military Commissions to Try the 9/11 Conspirators","https://www.govinfo.gov/app/details/CHRG-112hhrg65601/CHRG-112hhrg65601","https://www.govinfo.gov/content/pkg/CHRG-112hhrg65601/pdf/CHRG-112hhrg65601.pdf","2.2 MB","https://www.govinfo.gov/content/pkg/CHRG-112hhrg65601/html/CHRG-112hhrg65601.htm","173.3 KB","","0 B","","0 B","","0 B"," OF THE COMMITTEE ON THE JUDICIARY HOUSE OF REPRESENTATIVES ONE HUNDRED TWELFTH CONGRESS FIRST SESSION APRIL 5, 2011 Serial No. 112-29 Printed for the use of the Committee on the Judiciary Available via the World Wide Web: http://judiciary.house.gov U.S. GOVERNMENT PRINTING OFFICE 65-601 WASHINGTON : 2011 For sale by the Superintendent of ...","","2011-04-05"
"912","Bulk Submission","GOVPUB-ITC1-PURL-gpo78007","","Grain-Oriented Electrical Steel from China, Czech Republic, Germany, Japan, Korea, Poland, and Russia: Investigations Nos. 701-Ta-505 and 731-Ta-1231-1237 (Preliminary)","https://www.govinfo.gov/app/details/GOVPUB-ITC1-PURL-gpo78007","https://www.govinfo.gov/content/pkg/GOVPUB-ITC1-PURL-gpo78007/pdf/GOVPUB-ITC1-PURL-gpo78007.pdf","1.1 MB","","0 B","","0 B","","0 B","","0 B",", Japan, Korea, Poland, and Russia Investigation Nos. 701-TA-505 and 731-TA-1231-1237 (Preliminary) U.S. International Trade Commission COMMISSIONERS Irving A. Williamson, Chairman Shara L. Aranoff Dean A. Pinkert David S. Johanson Meredith M. Broadbent F. Scott Kieff Robert B. Koopman Staff assigned Address all communications to Secretary to...","","2013-01-01"
"913","Public and Private Laws","PLAW-114publ328","","National Defense Authorization Act for Fiscal Year 2017","https://www.govinfo.gov/app/details/PLAW-114publ328","https://www.govinfo.gov/content/pkg/PLAW-114publ328/pdf/PLAW-114publ328.pdf","2.6 MB","https://www.govinfo.gov/content/pkg/PLAW-114publ328/html/PLAW-114publ328.htm","3.4 MB","https://www.govinfo.gov/content/pkg/PLAW-114publ328/uslm/PLAW-114publ328.xml","8.8 MB","","0 B","","0 B"," authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. &lt;&lt;NOTE: Dec. 23, 2016 - [S. 2943]&gt;&gt; Be it enacted by the Senate ...","","2016-12-23"
"914","Public and Private Laws","PLAW-112publ239","","National Defense Authorization Act for Fiscal Year 2013","https://www.govinfo.gov/app/details/PLAW-112publ239","https://www.govinfo.gov/content/pkg/PLAW-112publ239/pdf/PLAW-112publ239.pdf","1.9 MB","https://www.govinfo.gov/content/pkg/PLAW-112publ239/html/PLAW-112publ239.htm","2.5 MB","","0 B","","0 B","","0 B","for fiscal year 2013 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. &lt;&lt;NOTE: Jan. 2, 2013 - [H.R. 4310]&gt;&gt; Be it enacted by the Senate and House of ...","","2013-01-02"
"915","Congressional Record (Bound Edition)","CRECB-2016-pt6","CRECB-2016-pt6-Pg8661-3","2016 MILITARY ACADEMY APPOINTEES FROM UTAH","https://www.govinfo.gov/app/details/CRECB-2016-pt6/CRECB-2016-pt6-Pg8661-3","https://www.govinfo.gov/content/pkg/CRECB-2016-pt6/pdf/CRECB-2016-pt6-Pg8661-3.pdf","266.3 KB","https://www.govinfo.gov/content/pkg/CRECB-2016-pt6/html/CRECB-2016-pt6-Pg8661-3.htm","10.1 KB","","0 B","","0 B","","0 B"," the annual opportunity to meet the exceptional young men and women from the great State of Utah who have answered the call of service by applying to the U.S. Air Force Academy, the U.S. Military Academy, the U.S. Naval Academy, and the U.S. Merchant Marine Academy. Under title 10 of the U.S. Code, each year Members of Congress are authorized to ...","","2016-06-14"
"916","Congressional Bills","BILLS-117sres142is","","Recognizing the importance of the United States-Japan relationship to safeguarding global security, prosperity, and human rights and welcoming the visit of Prime Minister Yoshihide Suga to the United States.","https://www.govinfo.gov/app/details/BILLS-117sres142is","https://www.govinfo.gov/content/pkg/BILLS-117sres142is/pdf/BILLS-117sres142is.pdf","232.4 KB","https://www.govinfo.gov/content/pkg/BILLS-117sres142is/html/BILLS-117sres142is.htm","11.1 KB","","0 B","https://www.govinfo.gov/content/pkg/BILLS-117sres142is/xml/BILLS-117sres142is.xml","12.7 KB","","0 B",", prosperity, and human rights and welcoming the visit of Prime Minister Yoshihide Suga to the United States. IN THE SENATE OF THE UNITED STATES March 25, 2021 Mr. Menendez (for himself, Mr. Hagerty, Mr. Markey, Mr. Romney, and Mr. Coons) submitted the following resolution; which was referred to the Committee on Foreign Relations RESOLUTION ...","","2021-03-25"
"917","Bulk Submission","GOVPUB-D5-PURL-gpo14433","","Assessing Chinese Military Transparency","https://www.govinfo.gov/app/details/GOVPUB-D5-PURL-gpo14433","https://www.govinfo.gov/content/pkg/GOVPUB-D5-PURL-gpo14433/pdf/GOVPUB-D5-PURL-gpo14433.pdf","749.8 KB","","0 B","","0 B","","0 B","","0 B"," for National Strategic Studies National Defense University Institute for National Strategic Studies National Defense University The Institute for National Strategic Studies (INSS) is National Defense University’s (NDU’s) dedicated research arm.  INSS includes the Center for Strategic Research, Center for Technology and National Security ...","","2010-01-01"
"918","Congressional Serial Set","SERIALSET-05274_00_00-002-0002-0004","","Annual reports of the War Department for 1907: Volume IV, Militia, Military Schools, and Military Parks;U.S. Congressional Serial Set No. 5274 - House Documents, Vol. 5","https://www.govinfo.gov/app/details/SERIALSET-05274_00_00-002-0002-0004","https://www.govinfo.gov/content/pkg/SERIALSET-05274_00_00-002-0002-0004/pdf/SERIALSET-05274_00_00-002-0002-0004.pdf","139539580","","0 B","","0 B","https://www.govinfo.gov/content/pkg/SERIALSET-05274_00_00-002-0002-0004/thumbnails/SERIALSET-05274_00_00-002-0002-0004-0003.gif","7.8 KB","","0 B",", MILITIA MILITARY ACADEMY— 1. BOARD OF VISITORS 2. SUPERINTENDENT MILITARY SCHOOLS— 1. INFANTRY AND CAVALRY 2. STAFF COLLEGE 3. SIGNAL 4. CAVALRY AND FIELD ARTILLERY 5. COAST ARTILLERY 6. ENGINEER 7. SUBMARINE DEFENSE 8. ARMY MEDICAL MILITARY PARKS— 1. CHICKAMAUGA AND CHATTANOOGA 2. GETTYSBURG 3. SHILOH 4. VICKSBURG WASHINGTON GOVERNMENT ...","","1907-01-01"
"919","Congressional Hearings","CHRG-108shrg99782","CHRG-108shrg99782","Military Implications of the United Nations Convention on the Law of the Sea","https://www.govinfo.gov/app/details/CHRG-108shrg99782/CHRG-108shrg99782","https://www.govinfo.gov/content/pkg/CHRG-108shrg99782/pdf/CHRG-108shrg99782.pdf","2.7 MB","https://www.govinfo.gov/content/pkg/CHRG-108shrg99782/html/CHRG-108shrg99782.htm","351.2 KB","","0 B","","0 B","","0 B"," SENATE ONE HUNDRED EIGHTH CONGRESS SECOND SESSION APRIL 8, 2004 Printed for the use of the Committee on Armed Services U.S. GOVERNMENT PRINTING OFFICE 99-782 PDF WASHINGTON DC: 2005 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512�091800 Fax: (...","","2004-04-08"
"920","Public and Private Laws","PLAW-105publ237","","Military Construction Appropriations Act, 1999","https://www.govinfo.gov/app/details/PLAW-105publ237","https://www.govinfo.gov/content/pkg/PLAW-105publ237/pdf/PLAW-105publ237.pdf","194.1 KB","https://www.govinfo.gov/content/pkg/PLAW-105publ237/html/PLAW-105publ237.htm","25.1 KB","","0 B","","0 B","","0 B","family housing, and base realignment and closure for the Department of Defense for the fiscal year ending September 30, 1999, and for other purposes. &lt;&lt;NOTE: Sept. 20, 1998 - [H.R. 4059]&gt;&gt; Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled &lt;&lt;NOTE: Military Construction ...","","1998-09-20"
